tickerID,longName,sector,industry,fullTimeEmployees,city,country,companyOfficers,maxAge,isEsgPopulated,fundFamily,forwardPE,targetLowPrice,targetHighPrice,targetMedianPrice,targetMeanPrice,numberOfAnalystOpinions,recommendationMean,recommendationKey,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,trailingEps,financialCurrency,sharesOutstanding,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,lastDividendDate,exDividendDate,fundInceptionDate,heldPercentInsiders,ebitdaMargins,profitMargins,grossMargins,operatingMargins,revenueGrowth,earningsGrowth,threeYearAverageReturn,dividendYield,dividendRate,payoutRatio,lastCapGain,currentRatio,debtToEquity,returnOnEquity,totalCashPerShare,revenuePerShare,quickRatio,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,annualReportExpenseRatio,bookValue,sharesShort,priceToBook,yield,shortRatio,beta,pegRatio,enterpriseValue,marketCap,operatingCashflow,ebitda,grossProfits,freeCashflow,totalCash,totalDebt,totalRevenue,algorithm,averageVolume
0103.HK,Shougang Century Holdings Limited,Basic Materials,Steel,2294,Chai Wan,Hong Kong,[],1,False,,,,,,,,,none,,,,0.0563,HKD,1898649984,1609372800,1672444800,1625011200,,1623974400,,0.66190004,0.12827,0.06688,0.19028,0.0885,0.487,0.402,,0.0429,0.01,0.19870001,,1.124,42.346,0.10604999,0.067,1.295,0.858,0.514,4.007,,,0.906,,0.3366446,,,0.195351,,1265393408,579088256,420049984,315788992,394322000,-56955624,127236000,728100992,2461892096,,3521218
1027.HK,China Jicheng Holdings Limited,Consumer Cyclical,Footwear & Accessories,953,Jinjiang,China,[],1,False,,,,,,,,,none,,,,0.001079,CNY,302880000,1609372800,1672444800,1625011200,,,,0.40657002,-0.07725,-0.20733999,0.13384,-0.09734,-0.296,,,,,0,,2.88,24.423,-0.1364,0.27,1.158,1.181,0.708,-9.166,,,1.37,,0.3868613,,,0.392916,,201328000,160526384,-85404000,-21965000,52795000,-48023376,81750000,101350000,284327008,,71998
1029.HK,IRC Limited,Basic Materials,Other Industrial Metals & Mining,1739,Central,Hong Kong,[],1,False,,,0.55,0.55,0.55,0.55,1,,none,,,,-0.042828,USD,7099709952,1609372800,1672444800,1625011200,,,,0.304,0.48861,0.57475,0.50165004,0.41774,1.045,16.358,,,,0,,1.652,41.736,0.50741,0.009,0.047,1.25,5.674,11.613,,,0.067,,3.8805969,,,3.473713,,1904135552,1845924480,127790000,163972000,76558000,50113876,67019000,197918000,335588000,,14543507
1028.HK,C.banner International Holdings Limited,Consumer Cyclical,Footwear & Accessories,5474,Hong Kong,Hong Kong,[],1,False,,2.125,,,,,,,none,,0.16,,-0.168854,CNY,2076999936,1609372800,1672444800,1625011200,,1404259200,,0.41645,0.01629,0.03882,0.57453,-0.00397,0.211,,,,,0,,4.099,3.242,0.04942,0.238,0.813,2.875,0.171,10.487,,,0.652,,0.5214724,,,0.858328,,287364992,706179968,143596992,27403000,860668000,49616376,493831008,44214000,1682208000,,185828
1039.HK,Changyou Alliance Group Limited,Consumer Cyclical,Internet Retail,222,Wan Chai,Hong Kong,[],1,False,,,,,,,,,none,,,,-0.048052,CNY,1810950016,1609372800,1672444800,1625011200,,,,0.56699,-0.3523,-0.17214,0.02093,-0.36229,-0.519,,,,,0,,1.763,25499.053,-3.55975,0.06,0.125,0.928,1.552,-4.405,,,0.185,,1.3081081,,,0.188157,,352073056,438249888,-116340000,-79934000,1045000,-62904376,108462000,215467008,226888000,,40468
1034.HK,Fullwealth International Group Holdings Limited,Industrials,Engineering & Construction,79,Sheung Wan,Hong Kong,[],1,False,,,,,,,,,none,,,,,HKD,1600000000,1609372800,1672444800,1625011200,,,,0.75,-0.01184,-0.05288,0.020130001,-0.02853,0.33,,,,,0,,2.282,1.557,-0.12503,0.053,0.196,2.147,10.613,-896.077,,,0.078,,27.179485,,,1.705906,,3325339904,3391999744,62689000,-3711000,-54912000,74363376,84595000,1935000,313335008,,2075750
1031.HK,Kingston Financial Group Limited,Financial Services,Capital Markets,667,Central,Hong Kong,[],1,False,,,,,,,,,none,,,,0.029,HKD,13614499840,1617148800,1680220800,1632960000,,1599091200,,0.74606,0,-0.24938999,0.84,-0.054580003,-0.511,-0.99,,,,0,,2.085,29.776,-0.0051200003,0.113,0.025,0.274,26.746,,,,1.224,,0.33496732,,,1.371333,,11827764224,7119444992,2633442048,,646492000,,1969686016,6330723840,442222016,,193500
1037.HK,Maxnerva Technology Services Limited,Technology,Information Technology Services,507,Tsim Sha Tsui East,Hong Kong,[],1,False,,,,,,,,,none,,,,0.01978,CNY,701542976,1609372800,1672444800,1625011200,,1445472000,,0.33119,0.07301,0.03131,0.20343,0.06084,0.003,0.137,,,,0,,2.692,6.27,0.04439,0.247,0.785,2.095,0.164,2.245,,,0.546,,0.69597065,,,-0.171555,,85916904,266586320,-35254000,38265000,94264000,-29283376,173104992,24005000,524095008,,171870
1033.HK,Sinopec Oilfield Service Corporation,Energy,Oil & Gas Drilling,71736,Beijing,China,[],1,True,,-11.333334,0.72,0.92,0.85,0.83,4,2.6,hold,,-0.06,,0.05811,CNY,5414960128,1609372800,1672444800,1632960000,,1341360000,,0.47937,0.051760003,0.00245,0.059860002,0.01154,0.01,,,,,0,,0.644,301.927,0.022650002,0.071,3.668,0.567,0.493,9.517,,,0.392,,1.7346939,,,1.213613,,33674430464,41061462016,3656465920,3538181376,4957848000,4064596224,1350537984,22495305728,68359364608,,7540014
1030.HK,Seazen Group Limited,Real Estate,Real Estate—Development,30490,Shanghai,China,[],1,False,,11.466666,6.39,12.3,8.73,9.04,9,1.9,buy,,0.45,,0.803263,CNY,6210030080,1609372800,1672444800,1625011200,,1623369600,,0.71152997,0.14121,0.060289998,0.20247,0.13758999,1.105,0.679,,0.0954,0.49,0.2237,,1.101,130.975,0.23104,8.904,30.371,0.347,0.764,5.41,,,5.853,,0.8815991,,,1.593801,,143645999104,32043753472,-1668637056,26549766144,32786639000,-4539687936,55294996480,115180158976,188015755264,,8907468
1036.HK,Vanke Overseas Investment Holding Company Limited,Real Estate,Real Estate Services,97,Central,Hong Kong,[],1,False,,,,,,,,,none,,,,0.34,HKD,389528000,1609372800,1672444800,1625011200,,1625011200,,0.82722,0.62444997,0.83355004,0.65686995,0.60121,0,3.951,,0.038599998,0.09,0.0865,,0.693,31.389,0.10145,1.694,1.239,0.684,3.211,5.141,,,10.647,,0.23292945,,,0.740453,,1550037120,966029440,232222000,301480992,313540000,168307248,659718976,1301888000,482793984,,39957
1038.HK,CK Infrastructure Holdings Limited,Utilities,Utilities—Regulated Electric,2305,Central,Hong Kong,[],1,True,,10.244162,47,58.8,55,54.47,11,2.2,buy,,4.71,,4.17,HKD,2519610112,1609372800,1672444800,1625011200,,1630627200,,0.80878997,0.51317,0.94176,0.51771,0.46401,0.095,0.053,,0.0506,2.48,0.7691,,0.523,38.277,0.06697,3.227,3.149,0.485,20.111,39.19,,,45.651,,1.056932,,,0.975662,,159541936128,121571188736,3593999872,4071000064,4003000000,2538625024,8130999808,44079001600,7933000192,,1256908
1044.HK,Hengan International Group Company Limited,Consumer Defensive,Household & Personal Products,23000,Jinjiang,China,[],1,True,,10.75419,37.2,66.68,46.48,48.82,15,2.8,hold,,3.58,,3.670988,CNY,1162119936,1609372800,1672444800,1625011200,,1631232000,,0.48289,0.25191,0.19587,0.40013,0.21484,-0.087,-0.171,,0.0714,2.76,0.6947,,1.268,121.145,0.21858999,19.827,18.07,1.101,2.155,8.554,,,16.432,,2.3429894,,,0.407787,,46156230656,44741615616,4341082112,5395998208,9455855000,3331492608,23347392512,23742433280,21420052480,,2375246
0104.HK,Asia Commercial Holdings Limited,Consumer Cyclical,Specialty Retail,119,Wan Chai,Hong Kong,[],1,False,,,,,,,,,none,,,,-0.0228,HKD,747123008,1617148800,1680220800,1632960000,,1638489600,,0.68066,0.09854,0.048070002,0.21639,0.0936,-0.096,-0.119,,0.2459,0.05,0,,1.337,34.261,0.12203,0.227,1.498,0.876,0.133,1.346,,,0.605,,0.36363634,,,0.339236,,148410816,164367056,203198000,110270000,232172000,168082000,169248992,154792000,1119026944,,264126
1045.HK,APT Satellite Holdings Limited,Communication Services,Telecom Services,109,Tai Po,Hong Kong,[],1,False,,4.339623,,,,,,,none,,0.53,,0.3893,HKD,928572992,1609372800,1672444800,1625011200,,1631750400,,0.54857,0.78239995,0.30841,0.4763,0.35198003,-0.013,0.518,,0.1,0.23,0.7679,,6.219,3.329,0.04625,1.187,0.951,6.218,1.397,1.786,,,6.469,,0.35554183,,,0.573879,,1233732864,2135717888,583548032,690953024,393819000,428105504,1101970944,199986000,883115008,,499712
1046.HK,Universe Entertainment and Culture Group Company Limited,Communication Services,Entertainment,139,Kwai Chung,Hong Kong,[],1,False,,,,,,,,,none,,,,-0.134,HKD,906632000,1625011200,1688083200,1625011200,,1555545600,,0.73949,0.27041999,0.25613,0.3982,0.26709998,144.342,,,,,0,,1.111,4.24,0.35512,0.499,0.665,1.07,0.137,0.507,,,0.561,,1.0695188,,,0.255118,,82576400,543979200,459968992,162954000,239954000,181272496,452795008,21434000,602600000,,337090
